Player ,Status,Years,WAR,ERA,WHIP,WAR vs HOF,ERA vs HOF,WHIP vs HOF
Tex Carleton ,I,8,15.5,3.908,1.3631,-0.768,-0.321,-0.141
Johnny Murphy ,I,13,15.5,3.497,1.3675,-0.768,-0.182,-0.144
Steve Bedrosian ,I,14,15.4,3.378,1.2964,-0.77,-0.142,-0.085
Casey Patten ,I,8,15.4,3.36,1.3145,-0.77,-0.136,-0.1
Bob Groom ,I,10,15.3,3.105,1.2789,-0.771,-0.049,-0.07
Arthur Rhodes ,I,20,15.2,4.077,1.3042,-0.773,-0.378,-0.091
Eric Show ,I,11,15.1,3.66,1.2906,-0.774,-0.237,-0.08
Ray Kolp ,I,12,15.1,4.079,1.3874,-0.774,-0.379,-0.161
Don Aase ,I,13,15.1,3.797,1.39,-0.774,-0.283,-0.163
Ray Burris ,I,15,15.1,4.174,1.4045,-0.774,-0.411,-0.175
Al Mamaux ,I,12,14.9,2.896,1.2753,-0.777,0.021,-0.067
Dock Ellis ,I,12,14.9,3.455,1.2881,-0.777,-0.168,-0.078
Cy Blanton ,I,9,14.9,3.553,1.2969,-0.777,-0.201,-0.085
Jeff Samardzija ,A,13,14.8,4.143,1.244,-0.779,-0.4,-0.041
Doc Ayers ,I,9,14.8,2.841,1.2172,-0.779,0.04,-0.019
Jeff Russell ,I,14,14.8,3.748,1.3459,-0.779,-0.267,-0.126
Jim Lonborg ,I,15,14.7,3.857,1.3079,-0.78,-0.303,-0.094
Lew Richie ,I,8,14.6,2.536,1.2396,-0.782,0.143,-0.037
Dave Davenport ,I,6,14.6,2.934,1.2492,-0.782,0.008,-0.045
Phil Douglas ,I,9,14.5,2.803,1.1924,-0.783,0.053,0.002
Gary Bell ,I,12,14.4,3.685,1.3082,-0.785,-0.245,-0.095
Dave LaRoche ,I,14,14.4,3.525,1.3132,-0.785,-0.191,-0.099
Matt Garza ,I,12,14.4,4.088,1.3223,-0.785,-0.382,-0.107
Bruce Kison ,I,15,14.3,3.66,1.3013,-0.786,-0.237,-0.089
Bill Duggleby ,I,8,14.3,3.184,1.3025,-0.786,-0.076,-0.09
Clem Labine ,I,13,14.3,3.626,1.3328,-0.786,-0.225,-0.115
Kirk McCaskill ,I,12,14.3,4.117,1.3956,-0.786,-0.391,-0.168
Mike Leake ,A,10,14.2,4.055,1.281,-0.788,-0.37,-0.072
Dave Dravecky ,I,8,14.2,3.134,1.2073,-0.788,-0.059,-0.01
Dick Tidrow ,I,13,14.2,3.684,1.3076,-0.788,-0.245,-0.094
Harry Harper ,I,10,14.2,2.866,1.3392,-0.788,0.031,-0.121
Grant Jackson ,I,18,14.1,3.464,1.3123,-0.789,-0.171,-0.098
Willie Sudhoff ,I,10,14.1,3.599,1.3376,-0.789,-0.216,-0.119
Lady Baldwin ,I,6,14,2.85,1.1347,-0.791,0.037,0.05
Wandy Rodriguez ,I,11,14,4.103,1.3446,-0.791,-0.387,-0.125
Ruben Gomez ,I,10,13.9,4.085,1.3824,-0.792,-0.381,-0.157
Mike Stanton ,I,19,13.8,3.918,1.3519,-0.794,-0.324,-0.131
Carl Lundgren ,I,8,13.7,2.417,1.2141,-0.795,0.183,-0.016
Jim Deshaies ,I,12,13.7,4.143,1.3174,-0.795,-0.4,-0.102
Ben Cantwell ,I,11,13.7,3.907,1.3181,-0.795,-0.32,-0.103
Allan Sothoron ,I,11,13.7,3.31,1.3777,-0.795,-0.119,-0.153
Fred Goldsmith ,I,7,13.6,2.729,1.153,-0.797,0.078,0.035
Al McBean ,I,10,13.6,3.131,1.327,-0.797,-0.058,-0.11
Lary Sorensen ,I,11,13.6,4.147,1.3603,-0.797,-0.401,-0.138
Pat Jarvis ,I,8,13.5,3.582,1.215,-0.798,-0.211,-0.017
Jay Hughes ,I,4,13.5,3.019,1.2675,-0.798,-0.02,-0.061
Jesse Duryea ,I,5,13.5,3.449,1.3327,-0.798,-0.166,-0.115
Jose Guzman ,I,8,13.4,4.05,1.3681,-0.8,-0.369,-0.145
Chris Archer ,A,8,13.3,3.862,1.2526,-0.801,-0.305,-0.048
Lefty Williams ,I,7,13.3,3.134,1.2378,-0.801,-0.059,-0.036
Orlando Pena ,I,14,13.3,3.706,1.2704,-0.801,-0.252,-0.063
Pete Richert ,I,13,13.2,3.189,1.1864,-0.803,-0.078,0.007
Ralph Terry ,I,12,13.2,3.621,1.1864,-0.803,-0.224,0.007
Doc Crandall ,I,10,13.2,2.921,1.2394,-0.803,0.013,-0.037
Tom Hughes ,I,13,13.2,3.094,1.3098,-0.803,-0.046,-0.096
Sam Weaver ,I,6,13.1,3.214,1.1807,-0.804,-0.086,0.012
Shaun Marcum ,I,9,13.1,3.932,1.234,-0.804,-0.329,-0.033
Huck Betts ,I,10,13.1,3.926,1.392,-0.804,-0.327,-0.165
Art Fromme ,I,10,13,2.904,1.2705,-0.806,0.019,-0.063
Milt Wilcox ,I,16,13,4.075,1.3691,-0.806,-0.377,-0.146
Don Robinson ,I,15,12.9,3.787,1.2955,-0.807,-0.28,-0.084
Vern Bickford ,I,7,12.9,3.713,1.4001,-0.807,-0.255,-0.172
LaMarr Hoyt ,I,8,12.7,3.994,1.214,-0.81,-0.35,-0.016
Erskine Mayer ,I,8,12.7,2.958,1.2334,-0.81,0,-0.032
Craig Swan ,I,12,12.7,3.744,1.2681,-0.81,-0.265,-0.061
Red Barrett ,I,11,12.7,3.534,1.2697,-0.81,-0.194,-0.063
Scott Stratton ,I,8,12.7,3.867,1.3798,-0.81,-0.307,-0.155
Russ Meyer ,I,13,12.7,3.991,1.402,-0.81,-0.349,-0.173
Pat Ragan ,I,11,12.6,2.988,1.2591,-0.812,-0.01,-0.054
Ken Brett ,I,14,12.6,3.927,1.3444,-0.812,-0.327,-0.125
Mike Smith ,I,14,12.5,3.346,1.3129,-0.813,-0.131,-0.099
Steve Avery ,I,11,12.5,4.185,1.3495,-0.813,-0.414,-0.129
Hank Wyse ,I,8,12.5,3.521,1.3605,-0.813,-0.19,-0.138
Don Larsen ,I,14,12.5,3.779,1.3999,-0.813,-0.277,-0.171
Jake Odorizzi ,A,9,12.4,3.925,1.241,-0.815,-0.326,-0.038
Doug Rau ,I,9,12.4,3.347,1.3013,-0.815,-0.131,-0.089
Bob Harmon ,I,9,12.4,3.334,1.3281,-0.815,-0.127,-0.111
Bill Campbell ,I,15,12.4,3.543,1.3292,-0.815,-0.197,-0.112
Mat Latos ,I,9,12.3,3.636,1.2095,-0.816,-0.229,-0.012
Jason Isringhausen ,I,16,12.3,3.644,1.3278,-0.816,-0.231,-0.111
Buster Brown ,I,9,12.3,3.205,1.377,-0.816,-0.083,-0.152
Fred Glade ,I,6,12.2,2.618,1.1066,-0.818,0.115,0.074
Cy Morgan ,I,10,12.2,2.509,1.2163,-0.818,0.152,-0.018
Darold Knowles ,I,16,12.2,3.115,1.3608,-0.818,-0.053,-0.139
