Player ,Status,Years,WAR,ERA,WHIP,WAR vs HOF,ERA vs HOF,WHIP vs HOF
Cy Young ,H,22,165.7,2.627,1.1296,1.475,0.112,0.055
Walter Johnson ,H,21,151.9,2.167,1.0612,1.269,0.268,0.112
Roger Clemens ,I,24,138.7,3.125,1.1725,1.072,-0.056,0.019
Kid Nichols ,H,15,116.7,2.955,1.2237,0.743,0.001,-0.024
Pete Alexander ,H,20,116,2.56,1.1212,0.733,0.135,0.062
Lefty Grove ,H,17,113.3,3.058,1.278,0.693,-0.033,-0.069
Tom Seaver ,H,20,106,2.862,1.1208,0.583,0.033,0.062
Greg Maddux ,H,23,104.8,3.156,1.1431,0.566,-0.067,0.043
Randy Johnson ,H,22,103.5,3.293,1.1711,0.546,-0.113,0.02
Christy Mathewson ,H,17,99.8,2.133,1.0581,0.491,0.279,0.115
Phil Niekro ,H,24,97,3.351,1.2681,0.449,-0.132,-0.061
Bert Blyleven ,H,22,96.1,3.314,1.198,0.436,-0.12,-0.003
Gaylord Perry ,H,22,93,3.105,1.1807,0.389,-0.049,0.012
Warren Spahn ,H,21,92.5,3.086,1.1946,0.382,-0.043,0
Tim Keefe ,H,14,89.1,2.627,1.123,0.331,0.112,0.06
Eddie Plank ,H,17,87.7,2.35,1.1189,0.31,0.206,0.064
Pedro Martinez ,H,18,86.1,2.925,1.0544,0.286,0.011,0.118
John Clarkson ,H,12,84.9,2.811,1.2093,0.268,0.05,-0.012
Steve Carlton ,H,24,84.1,3.215,1.2467,0.256,-0.087,-0.043
Nolan Ryan ,H,27,83.6,3.193,1.2473,0.249,-0.079,-0.044
Pud Galvin ,H,15,83.3,2.853,1.191,0.244,0.036,0.003
Robin Roberts ,H,19,83,3.405,1.1696,0.24,-0.151,0.021
Mike Mussina ,H,18,82.8,3.683,1.1915,0.237,-0.245,0.003
Fergie Jenkins ,H,19,82.2,3.338,1.1418,0.228,-0.128,0.045
Bob Gibson ,H,17,81.7,2.915,1.1881,0.22,0.015,0.006
Curt Schilling ,I,20,80.5,3.458,1.1374,0.203,-0.169,0.048
Jim McCormick ,I,10,76,2.431,1.1322,0.135,0.178,0.053
Tom Glavine ,H,22,73.9,3.536,1.3137,0.104,-0.195,-0.099
Old Hoss Radbourn ,H,12,73.2,2.678,1.1492,0.093,0.095,0.038
Justin Verlander ,A,16,72.3,3.328,1.1342,0.08,-0.125,0.051
Carl Hubbell ,H,16,68.9,2.978,1.1659,0.029,-0.006,0.024
Don Sutton ,H,23,68.3,3.261,1.1425,0.02,-0.102,0.044
Kevin Brown ,I,19,68.2,3.275,1.2222,0.019,-0.107,-0.023
Rick Reuschel ,I,19,68.1,3.373,1.2747,0.017,-0.14,-0.067
Red Faber ,H,20,67.7,3.149,1.3015,0.011,-0.064,-0.089
Jim Palmer ,H,19,67.6,2.856,1.1803,0.01,0.035,0.012
Vic Willis ,H,13,67.5,2.628,1.2095,0.008,0.112,-0.012
Zack Greinke ,A,17,67.3,3.34,1.1557,0.005,-0.129,0.033
Ted Lyons ,H,21,66.8,3.668,1.3482,-0.002,-0.24,-0.128
John Smoltz ,H,21,66.4,3.327,1.1759,-0.008,-0.124,0.016
Stan Coveleski ,H,14,66.4,2.891,1.2515,-0.008,0.023,-0.047
Clayton Kershaw ,A,13,65.9,2.439,1.0054,-0.016,0.176,0.159
Luis Tiant ,I,19,65.6,3.304,1.1987,-0.02,-0.117,-0.003
Roy Halladay ,H,16,65.4,3.385,1.1777,-0.023,-0.144,0.014
Bob Feller ,H,18,65.2,3.255,1.3157,-0.026,-0.1,-0.101
Amos Rusie ,H,10,65.2,3.068,1.3486,-0.026,-0.037,-0.129
Ed Walsh ,H,14,63.7,1.816,0.9996,-0.048,0.386,0.164
Mickey Welch ,H,13,63.1,2.712,1.2255,-0.057,0.083,-0.026
Dazzy Vance ,H,16,62.9,3.24,1.23,-0.06,-0.095,-0.029
Bobby Mathews ,I,15,62.3,2.857,1.2375,-0.069,0.034,-0.036
Dennis Eckersley ,H,24,62.2,3.501,1.1608,-0.071,-0.183,0.029
Tommy John ,I,26,62.1,3.342,1.2827,-0.072,-0.129,-0.073
CC Sabathia ,I,19,62,3.736,1.2588,-0.074,-0.263,-0.053
Juan Marichal ,H,16,61.8,2.89,1.1012,-0.077,0.023,0.078
David Cone ,I,17,61.6,3.462,1.2561,-0.08,-0.17,-0.051
Don Drysdale ,H,14,61.3,2.948,1.1477,-0.084,0.004,0.04
Joe McGinnity ,H,10,61.3,2.657,1.1879,-0.084,0.102,0.006
Tony Mullane ,I,13,61.1,3.053,1.2365,-0.087,-0.032,-0.035
Tommy Bond ,I,10,61,2.138,1.0908,-0.089,0.277,0.087
Rube Waddell ,H,13,60.8,2.161,1.1019,-0.092,0.27,0.078
Charlie Buffinton ,I,11,60.7,2.961,1.2338,-0.093,-0.001,-0.032
Andy Pettitte ,I,18,60.7,3.849,1.3507,-0.093,-0.301,-0.13
Jim Bunning ,H,17,60.4,3.269,1.1789,-0.098,-0.105,0.013
Hal Newhouser ,H,17,60,3.055,1.3107,-0.104,-0.032,-0.097
Mark Buehrle ,I,16,60,3.813,1.281,-0.104,-0.289,-0.072
Jack Quinn ,I,23,59.7,3.29,1.3004,-0.108,-0.112,-0.088
Max Scherzer ,A,13,59.3,3.21,1.0964,-0.114,-0.085,0.083
Clark Griffith ,H,21,59.3,3.312,1.3126,-0.114,-0.119,-0.098
Bret Saberhagen ,I,16,58.9,3.343,1.1406,-0.12,-0.13,0.046
Cole Hamels ,A,14,58.5,3.42,1.1827,-0.126,-0.156,0.01
Chuck Finley ,I,17,58.3,3.845,1.3765,-0.129,-0.299,-0.152
Eddie Cicotte ,I,14,57.5,2.38,1.1544,-0.141,0.196,0.034
Eppa Rixey ,H,21,57.4,3.148,1.2715,-0.143,-0.064,-0.064
Mordecai Brown ,H,14,57.2,2.057,1.0658,-0.146,0.305,0.108
Frank Tanana ,I,21,57.1,3.662,1.2697,-0.147,-0.238,-0.063
Jerry Koosman ,I,19,57,3.359,1.2588,-0.149,-0.135,-0.053
Tim Hudson ,I,17,56.5,3.492,1.239,-0.156,-0.18,-0.037
Dave Stieb ,I,16,56.5,3.438,1.2455,-0.156,-0.162,-0.042
Mariano Rivera ,H,19,56.3,2.209,1.0003,-0.159,0.253,0.163
Red Ruffing ,H,22,55.4,3.798,1.3409,-0.172,-0.284,-0.122
Kevin Appier ,I,16,54.9,3.738,1.2939,-0.18,-0.263,-0.083
Jack Powell ,I,16,54.8,2.973,1.2167,-0.181,-0.005,-0.018
Urban Shocker ,I,13,54.8,3.172,1.2552,-0.181,-0.072,-0.05
Waite Hoyt ,H,21,54.2,3.588,1.3396,-0.19,-0.213,-0.121
Al Spalding ,H,8,53.6,2.133,1.1932,-0.199,0.279,0.002
Whitey Ford ,H,16,53.6,2.745,1.215,-0.199,0.072,-0.017
David Wells ,I,21,53.6,4.13,1.2661,-0.199,-0.396,-0.059
Billy Pierce ,I,18,53.3,3.269,1.2602,-0.204,-0.105,-0.055
Sandy Koufax ,H,12,53.1,2.761,1.1061,-0.207,0.067,0.074
Larry Jackson ,I,14,52.6,3.401,1.2352,-0.214,-0.149,-0.034
Wilbur Wood ,I,17,52.2,3.236,1.2317,-0.22,-0.094,-0.031
Dutch Leonard ,I,20,51.7,3.25,1.2556,-0.228,-0.098,-0.051
Tommy Bridges ,I,16,51.6,3.573,1.3682,-0.229,-0.208,-0.145
Early Wynn ,H,23,51.5,3.542,1.3291,-0.231,-0.197,-0.112
Orel Hershiser ,I,18,51.4,3.482,1.2606,-0.232,-0.177,-0.055
Johan Santana ,I,12,51.1,3.203,1.132,-0.237,-0.082,0.053
Felix Hernandez ,A,15,50.3,3.419,1.206,-0.249,-0.155,-0.009
Eddie Rommel ,I,13,50.3,3.541,1.3504,-0.249,-0.197,-0.13
Silver King ,I,10,50.1,3.18,1.278,-0.252,-0.075,-0.069
Babe Adams ,I,19,50,2.755,1.092,-0.253,0.069,0.086
Mark Langston ,I,16,50,3.967,1.3542,-0.253,-0.341,-0.133
Roy Oswalt ,I,13,49.9,3.359,1.211,-0.255,-0.135,-0.013
Hoyt Wilhelm ,H,21,49.7,2.523,1.1245,-0.258,0.147,0.059
Dennis Martinez ,I,23,49.3,3.697,1.2656,-0.264,-0.249,-0.059
Wilbur Cooper ,I,15,49,2.894,1.2264,-0.268,0.022,-0.026
Jimmy Key ,I,15,49,3.507,1.2293,-0.268,-0.185,-0.029
Mel Harder ,I,20,48.5,3.801,1.4079,-0.275,-0.285,-0.178
Dwight Gooden ,I,16,48.2,3.506,1.2561,-0.28,-0.185,-0.051
Mickey Lolich ,I,16,47.9,3.438,1.2272,-0.284,-0.162,-0.027
Bartolo Colon ,A,21,47.8,4.118,1.3118,-0.286,-0.392,-0.098
Ron Guidry ,I,14,47.8,3.288,1.1835,-0.286,-0.111,0.01
Addie Joss ,H,9,47.7,1.887,0.9678,-0.287,0.362,0.19
Jim Whitney ,I,10,47.5,2.971,1.1466,-0.29,-0.004,0.041
Nap Rucker ,I,10,47.1,2.421,1.1746,-0.296,0.182,0.017
Frank Viola ,I,15,47.1,3.728,1.3013,-0.296,-0.26,-0.089
Burleigh Grimes ,H,19,46.8,3.527,1.3653,-0.301,-0.192,-0.143
Hippo Vaughn ,I,13,46.8,2.486,1.2007,-0.301,0.16,-0.005
Bob Friend ,I,16,46.8,3.584,1.2922,-0.301,-0.211,-0.081
Bucky Walters ,I,19,46.4,3.302,1.3241,-0.307,-0.116,-0.108
Milt Pappas ,I,17,46.2,3.398,1.2254,-0.31,-0.148,-0.025
Bob Shawkey ,I,15,46.2,3.089,1.2734,-0.31,-0.044,-0.066
Noodles Hahn ,I,8,45.7,2.546,1.1319,-0.317,0.14,0.053
Chris Sale ,A,10,45.4,3.026,1.0346,-0.322,-0.023,0.134
Jon Lester ,A,15,45.3,3.576,1.263,-0.323,-0.209,-0.057
Jim Kaat ,I,25,45.2,3.453,1.2588,-0.325,-0.167,-0.053
Dizzy Trout ,I,15,45.2,3.233,1.3527,-0.325,-0.093,-0.132
Steve Rogers ,I,13,45.1,3.175,1.2316,-0.326,-0.073,-0.031
George Uhle ,I,17,45.1,3.993,1.405,-0.326,-0.349,-0.176
Larry French ,I,14,45,3.444,1.3306,-0.328,-0.164,-0.113
Herb Pennock ,H,22,44.9,3.598,1.3484,-0.329,-0.216,-0.128
Vida Blue ,I,17,44.9,3.265,1.2335,-0.329,-0.103,-0.032
Bob Caruthers ,I,10,44.8,2.835,1.1578,-0.331,0.042,0.031
Dizzy Dean ,H,12,43.9,3.024,1.2057,-0.344,-0.022,-0.009
Al Orth ,I,15,43.9,3.37,1.2594,-0.344,-0.139,-0.054
Dolf Luque ,I,20,43.8,3.245,1.2884,-0.346,-0.097,-0.078
Jack Morris ,H,18,43.6,3.9,1.2963,-0.349,-0.318,-0.085
Carl Mays ,I,15,43.6,2.916,1.2068,-0.349,0.015,-0.01
Sadie McMahon ,I,9,43.6,3.506,1.3937,-0.349,-0.185,-0.166
Bill Donovan ,I,18,43.4,2.69,1.2447,-0.352,0.091,-0.042
Bob Welch ,I,17,43.4,3.467,1.2704,-0.352,-0.172,-0.063
Claude Passeau ,I,13,43.4,3.319,1.3178,-0.352,-0.122,-0.103
Lefty Gomez ,H,14,43.2,3.344,1.3524,-0.355,-0.13,-0.132
Sam McDowell ,I,15,43.1,3.174,1.308,-0.356,-0.073,-0.095
Chief Bender ,H,16,43,2.455,1.1127,-0.358,0.17,0.069
Murry Dickson ,I,18,43,3.656,1.339,-0.358,-0.236,-0.121
Jack Chesbro ,H,11,42.7,2.684,1.152,-0.362,0.093,0.036
Curt Simmons ,I,20,42.6,3.543,1.3069,-0.364,-0.197,-0.094
Cliff Lee ,I,13,42.5,3.518,1.1963,-0.365,-0.189,-0.001
Al Leiter ,I,19,42.5,3.802,1.3864,-0.365,-0.285,-0.16
Ed Morris ,I,7,42.4,2.816,1.1075,-0.367,0.048,0.073
Doc White ,I,13,42.3,2.391,1.1207,-0.368,0.192,0.062
Tom Candiotti ,I,16,42.3,3.732,1.3009,-0.368,-0.261,-0.089
Virgil Trucks ,I,17,42.3,3.385,1.3063,-0.368,-0.144,-0.093
Lon Warneke ,I,15,42.1,3.183,1.2454,-0.371,-0.076,-0.042
Rich Gossage ,H,22,41.6,3.009,1.2319,-0.379,-0.017,-0.031
Sam Leever ,I,13,41.3,2.473,1.1411,-0.383,0.164,0.045
Harry Brecheen ,I,12,41.3,2.916,1.1884,-0.383,0.015,0.006
Bill Hutchison ,I,9,41.2,3.589,1.3821,-0.385,-0.213,-0.157
Mel Stottlemyre ,I,11,40.7,2.969,1.2189,-0.392,-0.003,-0.02
Jesse Tannehill ,I,15,40.6,2.799,1.1858,-0.394,0.054,0.008
Danny Darwin ,I,21,40.3,3.837,1.268,-0.398,-0.297,-0.061
Jack Stivetts ,I,11,40.3,3.737,1.406,-0.398,-0.263,-0.177
Bill Dinneen ,I,12,40.2,3.012,1.2314,-0.399,-0.018,-0.03
John Candelaria ,I,19,39.9,3.332,1.1842,-0.404,-0.126,0.009
Sad Sam Jones ,I,22,39.9,3.838,1.4113,-0.404,-0.297,-0.181
David Price ,A,12,39.7,3.308,1.1529,-0.407,-0.118,0.035
Howard Ehmke ,I,15,39.7,3.746,1.388,-0.407,-0.266,-0.162
Will White ,I,10,39.5,2.276,1.111,-0.41,0.231,0.07
Nig Cuppy ,I,10,39.2,3.485,1.3706,-0.414,-0.178,-0.147
Paul Derringer ,I,15,39,3.459,1.282,-0.417,-0.169,-0.073
Charlie Hough ,I,25,39,3.746,1.3016,-0.417,-0.266,-0.089
Jon Matlack ,I,13,38.9,3.18,1.2332,-0.419,-0.075,-0.032
Ned Garver ,I,14,38.7,3.731,1.3531,-0.422,-0.261,-0.132
Jim Perry ,I,17,38.4,3.446,1.2555,-0.426,-0.165,-0.051
Ed Reulbach ,I,13,38.3,2.284,1.1431,-0.428,0.228,0.043
Jeff Pfeffer ,I,13,38.3,2.774,1.2096,-0.428,0.063,-0.012
Carlos Zambrano ,I,12,38.3,3.662,1.3308,-0.428,-0.238,-0.114
Candy Cummings ,H,6,38.2,2.424,1.2276,-0.429,0.181,-0.027
John Lackey ,I,15,38.1,3.92,1.2946,-0.431,-0.325,-0.083
Curt Davis ,I,13,37.9,3.422,1.2637,-0.434,-0.156,-0.057
Bob Lemon ,H,15,37.6,3.234,1.3368,-0.438,-0.093,-0.119
Andy Messersmith ,I,12,37.6,2.861,1.1433,-0.438,0.033,0.043
Camilo Pascual ,I,18,37.5,3.633,1.2871,-0.44,-0.228,-0.077
Charlie Root ,I,17,37.5,3.586,1.2951,-0.44,-0.212,-0.084
Fernando Valenzuela ,I,17,37.4,3.545,1.3205,-0.441,-0.198,-0.105
Mark Gubicza ,I,14,37.4,3.959,1.3606,-0.441,-0.338,-0.139
Dutch Leonard ,I,11,37.3,2.759,1.2254,-0.443,0.068,-0.025
Jake Peavy ,I,15,37.2,3.635,1.1956,-0.444,-0.228,-0.001
Claude Osteen ,I,18,36.8,3.298,1.2746,-0.45,-0.115,-0.067
Hooks Dauss ,I,15,36.8,3.305,1.3195,-0.45,-0.117,-0.104
Adam Wainwright ,A,15,36.5,3.382,1.2271,-0.455,-0.143,-0.027
Bob Rush ,I,13,36.5,3.648,1.2926,-0.455,-0.233,-0.082
Burt Hooton ,I,15,36.4,3.38,1.2428,-0.456,-0.142,-0.04
Catfish Hunter ,H,15,36.3,3.256,1.1341,-0.458,-0.1,0.051
Jesse Haines ,H,19,35.7,3.641,1.3498,-0.467,-0.23,-0.13
Josh Beckett ,I,14,35.3,3.879,1.2316,-0.473,-0.311,-0.031
Chris Carpenter ,I,15,35.2,3.759,1.2761,-0.474,-0.27,-0.068
Slim Sallee ,I,14,35.1,2.564,1.1702,-0.476,0.133,0.021
Jose Rijo ,I,14,35,3.236,1.2622,-0.477,-0.094,-0.056
Thornton Lee ,I,16,35,3.555,1.3576,-0.477,-0.201,-0.136
Tom Gordon ,I,21,35,3.958,1.3596,-0.477,-0.338,-0.138
Jacob deGrom ,A,7,34.9,2.597,1.046,-0.479,0.122,0.125
Deacon Phillippe ,I,13,34.9,2.586,1.1051,-0.479,0.126,0.075
Jered Weaver ,I,12,34.9,3.626,1.1914,-0.479,-0.225,0.003
Dean Chance ,I,11,34.9,2.921,1.2122,-0.479,0.013,-0.014
Rube Marquard ,H,18,34.8,3.076,1.2372,-0.48,-0.04,-0.035
George Mullin ,I,14,34.8,2.822,1.2901,-0.48,0.046,-0.08
Doyle Alexander ,I,19,34.8,3.757,1.2929,-0.48,-0.27,-0.082
Preacher Roe ,I,12,34.6,3.432,1.2594,-0.483,-0.16,-0.054
Bruce Hurst ,I,15,34.5,3.917,1.325,-0.485,-0.324,-0.109
Freddy Garcia ,I,15,34.4,4.154,1.3034,-0.486,-0.404,-0.091
Larry Dierker ,I,14,34.3,3.305,1.2174,-0.488,-0.117,-0.019
Schoolboy Rowe ,I,15,34.3,3.873,1.3022,-0.488,-0.309,-0.09
Johnny Cueto ,A,13,34.2,3.383,1.1918,-0.489,-0.143,0.003
Sal Maglie ,I,10,34.2,3.15,1.2496,-0.489,-0.065,-0.046
John Tudor ,I,12,34.1,3.12,1.1976,-0.491,-0.054,-0.002
Jim Maloney ,I,12,34.1,3.188,1.2591,-0.491,-0.077,-0.054
Ken Raffensberger ,I,15,34,3.597,1.2576,-0.492,-0.216,-0.052
Charlie Leibrandt ,I,14,34,3.712,1.3198,-0.492,-0.254,-0.104
Howie Pollet ,I,14,33.8,3.506,1.3481,-0.495,-0.185,-0.128
Freddie Fitzsimmons ,I,19,33.6,3.509,1.297,-0.498,-0.186,-0.085
Derek Lowe ,I,17,33.1,4.026,1.33,-0.506,-0.361,-0.113
Barry Zito ,I,15,33.1,4.041,1.337,-0.506,-0.366,-0.119
Brandon Webb ,I,7,33,3.267,1.2389,-0.507,-0.104,-0.037
Dan Haren ,I,13,32.9,3.753,1.1807,-0.509,-0.268,0.012
Jerry Reuss ,I,22,32.9,3.637,1.3246,-0.509,-0.229,-0.108
Russ Ford ,I,7,32.7,2.59,1.1537,-0.512,0.125,0.035
Red Lucas ,I,16,32.7,3.721,1.2553,-0.512,-0.258,-0.05
Bill Lee ,I,14,32.5,3.542,1.3429,-0.515,-0.197,-0.124
Harry Howell ,I,13,32.4,2.738,1.212,-0.516,0.075,-0.014
Corey Kluber ,A,10,32.3,3.157,1.0859,-0.517,-0.067,0.091
Stephen Strasburg ,A,11,32.1,3.192,1.0882,-0.52,-0.079,0.089
Bobby Shantz ,I,16,32.1,3.376,1.2595,-0.52,-0.141,-0.054
Mort Cooper ,I,11,31.9,2.968,1.2153,-0.523,-0.003,-0.017
Rick Wise ,I,18,31.9,3.687,1.289,-0.523,-0.246,-0.079
Jason Schmidt ,I,14,31.7,3.958,1.3214,-0.526,-0.338,-0.106
Bullet Joe Bush ,I,17,31.7,3.509,1.3785,-0.526,-0.186,-0.154
Jack Taylor ,I,10,31.6,2.653,1.1759,-0.528,0.103,0.016
Madison Bumgarner ,A,12,31.5,3.188,1.1147,-0.529,-0.077,0.067
Firpo Marberry ,I,14,31.5,3.631,1.323,-0.529,-0.227,-0.107
Sid Fernandez ,I,15,31.4,3.356,1.1443,-0.531,-0.134,0.042
Chris Short ,I,15,31.4,3.43,1.2994,-0.531,-0.159,-0.087
Mike Boddicker ,I,14,31.4,3.801,1.3199,-0.531,-0.285,-0.105
Johnny Antonelli ,I,12,31.2,3.338,1.2834,-0.534,-0.128,-0.074
Andy Benes ,I,14,31.2,3.973,1.3116,-0.534,-0.343,-0.098
Rick Sutcliffe ,I,18,31.2,4.08,1.3875,-0.534,-0.379,-0.161
George Zettlein ,I,6,31.1,2.547,1.2969,-0.535,0.139,-0.085
John Denny ,I,13,31.1,3.585,1.3362,-0.535,-0.212,-0.118
John Hiller ,I,15,31,2.833,1.2681,-0.537,0.043,-0.061
Earl Moore ,I,14,31,2.775,1.2903,-0.537,0.062,-0.08
Ray Caldwell ,I,12,30.9,3.219,1.2609,-0.538,-0.088,-0.055
Ellis Kinder ,I,12,30.9,3.431,1.3246,-0.538,-0.16,-0.108
Lee Meadows ,I,15,30.9,3.374,1.3402,-0.538,-0.14,-0.122
Jim Barr ,I,12,30.8,3.556,1.2778,-0.54,-0.202,-0.069
James Shields ,I,13,30.7,4.015,1.2718,-0.541,-0.357,-0.064
Mike Garcia ,I,14,30.7,3.265,1.3184,-0.541,-0.103,-0.103
Kevin Millwood ,I,16,30.7,4.112,1.3281,-0.541,-0.39,-0.111
Van Mungo ,I,14,30.7,3.471,1.337,-0.541,-0.173,-0.119
Red Donahue ,I,13,30.5,3.614,1.3707,-0.544,-0.221,-0.147
Max Lanier ,I,14,30.4,3.007,1.2974,-0.546,-0.016,-0.086
Ice Box Chamberlain ,I,10,30.4,3.565,1.3923,-0.546,-0.205,-0.165
Teddy Higuera ,I,9,30.3,3.613,1.2355,-0.547,-0.221,-0.034
Jim Devlin ,I,5,30.2,1.896,1.0868,-0.549,0.359,0.091
Greg Swindell ,I,17,30.2,3.857,1.26,-0.549,-0.303,-0.054
Gio Gonzalez ,A,13,30.1,3.701,1.3219,-0.55,-0.251,-0.106
Rick Rhoden ,I,16,30.1,3.595,1.3136,-0.55,-0.215,-0.099
Bill Hands ,I,11,30,3.354,1.2235,-0.552,-0.133,-0.024
Harvey Haddix ,I,14,29.9,3.628,1.2327,-0.553,-0.226,-0.032
Smoky Joe Wood ,I,14,29.6,2.033,1.0869,-0.558,0.313,0.09
A.J. Burnett ,I,17,29.6,3.987,1.325,-0.558,-0.347,-0.109
Adonis Terry ,I,14,29.6,3.739,1.3724,-0.558,-0.264,-0.148
Dick McBride ,I,6,29.5,2.706,1.2459,-0.559,0.086,-0.043
Syl Johnson ,I,19,29.5,4.06,1.2827,-0.559,-0.372,-0.073
Scott Sanderson ,I,19,29.4,3.84,1.255,-0.561,-0.298,-0.05
Jim Bagby ,I,9,29.4,3.113,1.2856,-0.561,-0.052,-0.076
Anibal Sanchez ,A,15,29.3,4.012,1.3086,-0.562,-0.356,-0.095
Lee Smith ,H,18,29.3,3.029,1.2557,-0.562,-0.024,-0.051
Sonny Siebert ,I,12,29.3,3.208,1.2133,-0.562,-0.084,-0.015
Matt Cain ,I,13,29.3,3.681,1.2279,-0.562,-0.244,-0.028
Frank Lary ,I,12,29.3,3.488,1.2667,-0.562,-0.179,-0.06
Bill Doak ,I,16,29.3,2.976,1.2675,-0.562,-0.006,-0.061
Mike Cuellar ,I,15,29.2,3.138,1.1966,-0.564,-0.06,-0.001
Ted Lilly ,I,15,29.2,4.144,1.2549,-0.564,-0.4,-0.05
Don Newcombe ,I,10,29.1,3.559,1.203,-0.565,-0.203,-0.007
Red Ames ,I,17,29.1,2.629,1.2289,-0.565,0.112,-0.028
Bob Ewing ,I,11,29,2.492,1.1782,-0.567,0.158,0.014
Lindy McDaniel ,I,21,29,3.454,1.2724,-0.567,-0.167,-0.065
General Crowder ,I,11,29,4.115,1.3876,-0.567,-0.391,-0.161
George Mogridge ,I,15,28.9,3.226,1.2875,-0.568,-0.09,-0.077
Joe Niekro ,I,22,28.7,3.593,1.3191,-0.571,-0.214,-0.104
Billy Rhines ,I,9,28.6,3.479,1.3416,-0.573,-0.176,-0.123
Fred Toney ,I,12,28.5,2.689,1.1877,-0.574,0.091,0.006
Eddie Lopat ,I,12,28.2,3.206,1.2766,-0.579,-0.083,-0.068
Johnny Podres ,I,15,28.2,3.675,1.3166,-0.579,-0.242,-0.102
John Ward ,H,17,28.1,2.099,1.0435,-0.58,0.291,0.127
Trevor Hoffman ,H,18,28.1,2.867,1.0584,-0.58,0.031,0.114
Bob Buhl ,I,15,28,3.545,1.3726,-0.582,-0.198,-0.149
Johnny Allen ,I,13,27.9,3.752,1.3264,-0.583,-0.268,-0.11
Hooks Wiltse ,I,12,27.8,2.471,1.1315,-0.585,0.165,0.053
Turk Farrell ,I,14,27.8,3.448,1.2296,-0.585,-0.165,-0.029
Jack McDowell ,I,12,27.8,3.854,1.3023,-0.585,-0.302,-0.09
Guy Hecker ,I,9,27.7,2.927,1.1676,-0.586,0.011,0.023
Jim Scott ,I,9,27.7,2.298,1.1802,-0.586,0.223,0.012
Alex Fernandez ,I,10,27.7,3.737,1.2753,-0.586,-0.263,-0.067
Jarrod Washburn ,I,12,27.7,4.095,1.3007,-0.586,-0.384,-0.088
Joe Dobson ,I,14,27.7,3.625,1.3359,-0.586,-0.225,-0.118
Bill Sherdel ,I,15,27.7,3.72,1.3579,-0.586,-0.257,-0.136
Doug Drabek ,I,13,27.6,3.735,1.2434,-0.588,-0.262,-0.041
Woody Williams ,I,15,27.6,4.187,1.3211,-0.588,-0.415,-0.106
Don Wilson ,I,9,27.5,3.145,1.212,-0.589,-0.063,-0.014
Ed Brandt ,I,11,27.5,3.865,1.3755,-0.589,-0.306,-0.151
Larry Corcoran ,I,8,27.4,2.355,1.1048,-0.591,0.204,0.075
Mel Parnell ,I,10,27.4,3.502,1.411,-0.591,-0.184,-0.181
Stu Miller ,I,16,27.3,3.242,1.2531,-0.592,-0.096,-0.049
Ewell Blackwell ,I,10,27.2,3.298,1.296,-0.594,-0.115,-0.085
Ken Forsch ,I,16,27,3.368,1.249,-0.597,-0.138,-0.045
Ken Holtzman ,I,15,27,3.487,1.2894,-0.597,-0.178,-0.079
Hal Schumacher ,I,13,27,3.357,1.3399,-0.597,-0.135,-0.121
Mario Soto ,I,12,26.8,3.469,1.1859,-0.6,-0.172,0.008
Kerry Wood ,I,14,26.8,3.672,1.2674,-0.6,-0.241,-0.061
Joe Nuxhall ,I,16,26.8,3.901,1.3402,-0.6,-0.318,-0.122
Johnny Vander Meer ,I,13,26.8,3.442,1.3926,-0.6,-0.163,-0.165
Watty Clark ,I,12,26.7,3.662,1.3048,-0.601,-0.238,-0.092
Tim Belcher ,I,14,26.7,4.163,1.344,-0.601,-0.407,-0.125
Ervin Santana ,I,15,26.6,4.092,1.272,-0.603,-0.383,-0.064
Ray Kremer ,I,10,26.6,3.757,1.3255,-0.603,-0.27,-0.109
Floyd Bannister ,I,15,26.4,4.063,1.3258,-0.606,-0.373,-0.109
Tex Hughson ,I,8,26.1,2.944,1.1936,-0.61,0.005,0.001
Ben Sheets ,I,10,26.1,3.777,1.2188,-0.61,-0.276,-0.02
Kent Tekulve ,I,16,26.1,2.85,1.2501,-0.61,0.037,-0.046
Dave Stewart ,I,16,26.1,3.95,1.3435,-0.61,-0.335,-0.124
Vern Law ,I,16,26,3.766,1.2837,-0.612,-0.273,-0.074
Ramon Martinez ,I,14,25.9,3.665,1.3114,-0.613,-0.239,-0.097
Harry Staley ,I,8,25.9,3.813,1.3538,-0.613,-0.289,-0.133
Kevin Gross ,I,15,25.8,4.113,1.409,-0.615,-0.39,-0.179
Jake Weimer ,I,7,25.7,2.231,1.1679,-0.616,0.246,0.023
Dennis Leonard ,I,12,25.7,3.695,1.2615,-0.616,-0.249,-0.056
Allie Reynolds ,I,13,25.7,3.304,1.3858,-0.616,-0.117,-0.16
Tommy Thomas ,I,12,25.7,4.115,1.4028,-0.616,-0.391,-0.174
Jose Quintana ,A,9,25.6,3.732,1.2661,-0.618,-0.261,-0.059
Charlie Ferguson ,I,4,25.6,2.674,1.1171,-0.618,0.096,0.065
Gary Nolan ,I,10,25.6,3.079,1.1453,-0.618,-0.041,0.042
Claude Hendrix ,I,10,25.5,2.649,1.1892,-0.619,0.105,0.005
Joe Horlen ,I,12,25.5,3.106,1.1903,-0.619,-0.05,0.004
Lew Burdette ,I,18,25.5,3.656,1.2434,-0.619,-0.236,-0.041
Mike Flanagan ,I,18,25.5,3.896,1.3343,-0.619,-0.317,-0.117
